source_biography_page,sent_list,triplet,gpt_annotation,manual_annotation
Andrzej Grzegorczyk,"[""Since 1938, Grzegorczyk had obtained the Polish secondary underground education at the 6th Tadeusz Reytan Lyceum in Warsaw to be matriculated in May 1940 on the day of France's capitulation."", 'One of Grzegorczyk\'s underground teachers was a philosopher of science and culture Bogdan Suchodolski, a professor at the Chair of Pedagogy of the Jan Kazimierz University of Lwów since 1938, a professor at the University of Warsaw in 1946–1970 and a member of the PAU since 1946, since 1952 a member and in 1965–1970 a deputy of scientific secretary and in 1969–1980 a member of the presidium of the PAS, in 1953–1973 the chairman of the Committee on Education Studies of the PAS, the head of the Department of History of Science and Technology of the PAS for 1958–1974 and the founding director of the Institute of Pedagogical Sciences at the Faculty of Education of the University of Warsaw for 1958–1968, since 1968 a member of the Front of National Unity (FJN), in 1983 a member of its successor the Patriotic Movement for National Rebirth (PRON) created to demonstrate unity and support for the communist Poland\'s both government and governing party Polish United Workers\' Party (PZPR) in the aftermath of the 1981–1983 martial law in Poland with a crucial role of a Polish centrist political party Alliance of Democrats and a pro-communist secular Roman Catholic organization PAX Association which in 1949 formed a publishing house Instytut Wydawniczy ""Pax"", in 1985–1989 a member and a Senior Marshal of the communist Poland\'s Parliament, in 1982–1989 the chairman of the National Council of Culture created by the martial law\'s main author Wojciech Jaruzelski.', ""Already in 1945 at the Philosophical Faculty of the Jagiellonian University in Kraków, supervised by a renowned philosopher of physics Zygmunt Michał Zawirski who in 1938–1939 was the Faculty's dean and in 1937 relocated to Kraków after uninterrupted nine years as the head of the Chair of Theory and Methodology of Sciences of the Adam Mickiewicz University in Poznań and investigated the problems on the borderline of philosophy and physics, Grzegorczyk finished the first higher study by a magister degree in philosophy with the thesis The Ontology of Properties, wherein with a help of Kotarbiński's reism, also propagated by Henryk Hiż, in the formal version by Stanisław Leśniewski, he successfully presented an interpretation of Leśniewski's elementary ontology as a theory of higher logical types.""]","['Andrzej Grzegorczyk', '1938', '6th Tadeusz Reytan Lyceum in Warsaw']",True,True
Andrzej Grzegorczyk,"['The best example of the latter context is his book Mała propedeutyka filozofii naukowej (Short propedeutics of scientific philosophy) issued by the aforementioned pro-communist Catholic publisher Instytut Wydawniczy ""Pax"" on the eve of the fall of communism in Poland in December 1989, when the Marxist-Leninist references were removed from the July 1952 Constitution of the Polish People\'s Republic and the country was renamed to the Republic of Poland, the dissolution of the PZPR in late January 1990 by its last First Secretary Mieczysław Rakowski and the dissolution of the Warsaw Pact on 1 July 1991 in Prague.', ""In general, the whole book reflected its author's full both conformity with and loyalty towards the economic-political transition, started with the 1990 Polish presidential election which made the leader of the anti-communist opposition and the 1983 Nobel Peace Prize laureate Lech Wałęsa the first freely elected President of the Third Republic of Poland, although until 2007 Lustration in Poland the Polish state authorities did not require a political either purge or thaw or at least a humble self-criticism among the Polish academia, and, moreover, until 2005 the successors of the PZPR – the Social Democracy of the Republic of Poland (SdRP) in 1991 and the Democratic Left Alliance (SLD) in 1999 – governed by Aleksander Kwaśniewski who won the 1995 presidential elections over Lech Wałęsa to be the 3rd President for 1995–2005 and to be instrumental in introduction of Poland into the North Atlantic Treaty Organization (NATO) in 1999 and the European Union in 2004 along with his party comrades Józef Oleksy, Włodzimierz Cimoszewicz, Leszek Miller, and Marek Belka, who were the Prime Ministers of Poland for 1995–1996, 1996–1997, 2001–2004, and 2004–2005 respectively."", 'In 1991, just after the dissolution of the Soviet Union, Grzegorczyk was instrumental in organization of a symposium in Moscow dedicated to the nonviolence philosophy with participation of the Goss couple as well as a Canadian Catholic philosopher, theologian, and humanitarian Jean Vanier who was awarded by the 2013 Pacem in Terris Peace and Freedom Award and the 2015 Templeton Prize and an American political scientist and writer on strategy of a nonviolent struggle Gene Sharp who in 1983 was the founding father of the Albert Einstein Institution to explore the methods of nonviolent resistance in conflicts and in 2009–2015 was four times nominated to the Nobel Peace Prize.']","['Jean Vanier', '1991', 'Moscow']",True,True
Donald Friend,"['He also served as an official war artist in Labuan and Balikpapan in 1945.', ""Much of Friend's life and career was spent outside Australia, in places as diverse as Nigeria (late 1930s, where he served as financial advisor to the Ogoga of Ikerre), Italy (several visits in the 1950s), Ceylon (now Sri Lanka; late 1950s – early 1960s), and Bali (from 1968 until his final return to Sydney in 1980).""]","['Friend', '1968 - 1980', 'Bali']",True,True
Hamilton Loomis,"['Loomis was born in Galveston, Texas, United States, to musical parents and he learned to play the drums, piano, guitar and harmonica at an early age.', 'Loomis and his band had an extensive touring schedule in the United States throughout the first eight months of 2016.']","['Loomis', 'first eight months of 2016', 'United States']",True,True
James Carville,"[""Ghani, who renounced his US Citizenship in order to run for Presidency in Afghanistan, attended high school in the United States in Lake Oswego, Oregon during the late 1960s, earned his master's degree from Columbia University in 1977, was a Fulbright Fellow in the United States who taught at UC Berkeley, and Johns Hopkins University in the 1980s, and worked as an economist at the Washington, DC-based World Bank in the 1990s.""]","['Ghani', '1990s', 'World Bank, Washington, DC']",True,True
Theodor Mommsen,"['In 1858 Mommsen was appointed a member of the Academy of Sciences in Berlin, and he also became professor of Roman History at the University of Berlin in 1861, where he held lectures up to 1887.']","['Mommsen', '1861', 'University of Berlin']",True,True
Kate Smith,"[""On October 26, 1982, Smith received the Presidential Medal of Freedom, America's highest civilian honor, by U.S. President Ronald Reagan.""]","['Smith', 'October 26, 1982', 'United States']",True,True
Meşale Tolu,"['After she gave birth to her son Serkan in Neu-Ulm end 2014, she moved with her husband Suat Çorlu to Istanbul, Turkey to work as a reporter and translator.', 'However, her permanent residence remained in Neu-Ulm, Bavaria, Germany.']","['Serkan', 'end 2014', 'Neu-Ulm']",True,True
Max Frisch,"['In the same year, in the context of the Swiss Secret files scandal, it was discovered that the national security services had been illegally spying on Frisch (as on many other Swiss citizens) ever since he had attended the International Peace Congress at Wrocław/Breslau in 1948.']","['Frisch', '1948', 'Wrocław/Breslau']",True,True
Alexander Patch,"['Under the leadership of George S. Patton, the Seventh Army had been the first American field army to be deployed in Europe during the war, having landed in Sicily as part of the Allied invasion of Sicily (codenamed Operation Husky) in July 1943 capturing Messina on August 17 and bringing the Allied campaign to an end.']","['George S. Patton', 'July 1943', 'Sicily']",True,True
Humza Arshad,"[""In July 2011, Arshad performed on Meera Syal's Comedy Night on BBC Asian Network."", ""In July 2011, he was interviewed by Bobby Friction on BBC Asian Network's Bobby Friction's late night show."", ""In July 2011, Arshad toured four UK cities in the Peace Youth and Community Trust's (PYCT) first Muslim Comedy Tour, alongside Jeff Mirza, Prince Abdi and Nabil Abdul Rashid."", 'From November to December 2011, he toured eight UK cities, performing at nine venues, with his comedy show called The Badman Comedy Tour 2011, he was accompanied by his entourage; Asif Hussain, Jaspal Kerrah, Junaid Malik, Yogesh Kalia, and Fayaaz Kassam.']","['Nabil Abdul Rashid', 'July 2011', 'UK cities']",True,True
Charles de Gaulle,"[""At de Gaulle's request, the newspaper Le Monde was founded in December 1944 to provide France with a quality daily journal similar to those in other countries."", 'The British ambassador to France Duff Cooper said that de Gaulle seemed to seek out real or imagined insults to take offence at whatever possible.', 'De Gaulle believed Britain and the US were intending to keep their armies in France after the war and were secretly working to take over its overseas possessions and to prevent it from regaining its political and economic strength.', 'On Armistice Day in 1945, Winston Churchill made his first visit to France since the liberation and received a good reception in Paris where he laid a wreath to Georges Clemenceau.']","['Winston Churchill', 'Armistice Day in 1945', 'France']",True,True
Michael Coren,"['Despite this acrimonious termination, Coren made regular talk show appearances on CFRB in July 2006, at the start of the 2006 Israel–Lebanon conflict, as he happened to be in Israel at the time.']","['Coren', 'July 2006', 'Israel']",True,True
Filsan Abdi,"['The Ministry, together with the Attorney General Adanech Abiebie and defence personnel, created a task force to investigate interview victims, collect medical evidence and aid the victims of sexual violence in the Tigray War, arriving in Mekelle on 1 February.', 'On 11 February, Filsan publicly stated that the task force had ""established [that] rape [had] taken place conclusively and without a doubt"".', ""Her 11 February 2021 tweet had been a response to the blocking of the full report's publication.""]","['Attorney General Adanech Abiebie', '1 February', 'Mekelle']",True,True
Hans Samelson,"['In 1941, he accepted a position at the Institute for Advanced Study in Princeton and immigrated to the United States; he arrived by ship six months before the United States entered World War II and acquired U.S. citizenship several years later.']","[""'he"", '1941', ""Institute for Advanced Study, Princeton'""]",True,True
Royston Drenthe,"['After his first full season at Feyenoord, Drenthe was called by Dutch under-21 coach Foppe de Haan to be part of his squad for the 2007 UEFA European Championship, which was held in the Netherlands.']","['Drenthe', '2007', 'the Netherlands']",True,True
Beyoncé,"['In 2002, Beyoncé, Kelly Rowland and Tina Knowles built the Knowles-Rowland Center for Youth, a community center in Downtown Houston.', 'During Hurricane Harvey in August 2017, Beyoncé launched BeyGOOD Houston to support those affected by the hurricane in Houston.', 'On September 8, Beyoncé visited Houston, where she sponsored a lunch for 400 survivors at her local church, visited the George R Brown Convention Center to discuss with people displaced by the flooding about their needs, served meals to those who lost their homes, and made a significant donation to local causes.', 'The same month Beyoncé released a remix of Megan Thee Stallion\'s ""Savage"", with all proceeds benefiting Bread of Life Houston\'s COVID-19 relief efforts, which includes providing over 14 tons of food and supplies to 500 families and 100 senior citizens in Houston weekly.', ""In May 2020, Beyoncé provided 1,000 free COVID-19 tests in Houston as part of her and her mother's #IDidMyPart initiative, which was established due to the disproportionate deaths in African-American communities.""]","['Beyoncé', 'September 8', 'Houston']",True,True
Rudolf Steiner,"[""In the first two years of Rudolf's life, the family moved twice, first to Mödling, near Vienna, and then, through the promotion of his father to stationmaster, to Pottschach, located in the foothills of the eastern Austrian Alps in Lower Austria.""]","['Rudolf', ""first two years of Rudolf's life"", 'Mödling, near Vienna']",True,True
Donald Friend,"[""During World War II he served as a gunner with the AIF, and while stationed at Albury began a friendship with Russell Drysdale, which led to their joint discovery of Hill End, a quasi-abandoned gold mining village near Bathurst, New South Wales, which in the 1950s became something of an artists' colony."", ""Much of Friend's life and career was spent outside Australia, in places as diverse as Nigeria (late 1930s, where he served as financial advisor to the Ogoga of Ikerre), Italy (several visits in the 1950s), Ceylon (now Sri Lanka; late 1950s – early 1960s), and Bali (from 1968 until his final return to Sydney in 1980).""]","['Friend', '1950s', 'Italy']",True,True
Andrzej Grzegorczyk,"[""Her father, Polish mining engineer and industrialist Leszek Majewski, in 1920–1948 was the director of the Pruszków factory of pencils Majewski St. i S-ka, created by his father a Polish engineer, industrialist, and writer Stanisław Jan Majewski who was a member of the Legislative Sejm (1919–1922) and the 1st Parliament (1922–1927) of the Second Polish Republic as a representative of the Popular National Union, and on 2 May 1924 was awarded the Commander's Cross of the Order of Polonia Restituta by President Stanisław Wojciechowski."", 'His body is buried in the Cemetery of Pruszków.']","['Leszek Majewski', '1920-1948', 'Pruszków']",True,True
