person,year,location,source_biography_page
Georg Iggers,1926,Hamburg,Georg Iggers
Carl Ferdinand Friedrich Lehmann-Haupt,1861,Hamburg,Carl Ferdinand Friedrich Lehmann-Haupt
Renate Dürr,1982,Hamburg,Renate Dürr
Johannes Hürter,1963,Hamburg,Johannes Hürter
Felix Römer,1978,Hamburg,Felix Römer
Hans-Jürgen Döscher,1968,Hamburg,Hans-Jürgen Döscher
Peter Friedrich Arpe,1729,Hamburg,Peter Friedrich Arpe
Rudolf Lindau (politician),1918,Hamburg,Rudolf Lindau (politician)
Jörg Baten,1965,Hamburg,Jörg Baten
Karl Eduard Rothschuh,1937,Hamburg,Karl Eduard Rothschuh
J. Revell Carr,1976,Hamburg,J. Revell Carr
Max Kaser,1968,Hamburg,Max Kaser
Monika Richarz,1993,Hamburg,Monika Richarz
Michael ab Isselt,1597,Hamburg,Michael ab Isselt
Ulrike Müßig,1995,Hamburg,Ulrike Müßig
Werner Jochmann,1921,Hamburg,Werner Jochmann
Werner Jochmann,1948,Hamburg,Werner Jochmann
Werner Jochmann,1945,Hamburg,Werner Jochmann
Rita Bake,1990,Hamburg,Rita Bake
Rita Bake,2000,Hamburg,Rita Bake
Rita Bake,2012,Hamburg,Rita Bake
Paul Rycaut,1689,Hamburg,Paul Rycaut
Hellmut Flashar,1929,Hamburg,Hellmut Flashar
Christian Meier (historian),1948,Hamburg,Christian Meier (historian)
Richard J. Evans,1970,Hamburg,Richard J. Evans
Richard J. Evans,1892,Hamburg,Richard J. Evans
Peter Lambeck,1628,Hamburg,Peter Lambeck
Peter Lambeck,1660,Hamburg,Peter Lambeck
Bernd Bonwetsch,1962,Hamburg,Bernd Bonwetsch
Birgit Aschmann,1967,Hamburg,Birgit Aschmann
Barbara Aland,1937,Hamburg,Barbara Aland
Burghart Schmidt (historian),1962,Hamburg,Burghart Schmidt (historian)
Robert Eisler,1922,Hamburg,Robert Eisler
Otto Lauffer,1949,Hamburg,Otto Lauffer
Volker Ullrich,1975,Hamburg,Volker Ullrich
Volker Ullrich,1988,Hamburg,Volker Ullrich
Carl Ludwig Grotefend,1836,Germany,Carl Ludwig Grotefend
Michael Ranft,1700,Germany,Michael Ranft
Herbert Grundmann,1933,Germany,Herbert Grundmann
Friedrich von Weech,1860,Germany,Friedrich von Weech
Reinhard Zimmermann,1988,Germany,Reinhard Zimmermann
Ingo Heidbrink,1994,Germany,Ingo Heidbrink
Martin Gumpert,1949,Germany,Martin Gumpert
Hans Rosenberg,1972,Germany,Hans Rosenberg
Hans Rosenberg,1977,Germany,Hans Rosenberg
Inga Markovits,1937,Germany,Inga Markovits
Ernst Engelberg,1945,Germany,Ernst Engelberg
Ernst Engelberg,1948,Germany,Ernst Engelberg
Hartmut Zinser,1975,Germany,Hartmut Zinser
Werner Riess,2008,Germany,Werner Riess
Ludwig Edelstein,1933,Germany,Ludwig Edelstein
Claudia Wiesemann,1985,Germany,Claudia Wiesemann
Julius Epstein (writer),1933,Germany,Julius Epstein (writer)
Max Beer,1889,Germany,Max Beer
Max Beer,1933,Germany,Max Beer
David L. Hoggan,1948,Germany,David L. Hoggan
Wilhelm Levison,1939,Germany,Wilhelm Levison
Doron Mendels,1987,Germany,Doron Mendels
Mordechai Breuer (historian),1918,Germany,Mordechai Breuer (historian)
Ruth Katz,1934,Germany,Ruth Katz
Dominik Gross,1964,Germany,Dominik Gross
Gerd Koenen,2003,Germany,Gerd Koenen
Erich Maschke,1942,Germany,Erich Maschke
Ernest Bramsted,1901,Germany,Ernest Bramsted
Eckart Conze,2005,Germany,Eckart Conze
Meta von Salis,1883,Germany,Meta von Salis
Nicholas Goodrick-Clarke,1953,Germany,Nicholas Goodrick-Clarke
Henri Kuprashvili,2000,Germany,Henri Kuprashvili
Franz Maria Feldhaus,1950,Germany,Franz Maria Feldhaus
Gancho Tsenov,1936,Germany,Gancho Tsenov
Gertrud Schubart-Fikentscher,1948,Germany,Gertrud Schubart-Fikentscher
Hans L. Trefousse,1935,Germany,Hans L. Trefousse
Robert Wolfe,1948,Germany,Robert Wolfe
Marc Bloch,1909,Germany,Marc Bloch
Adolf Leschnitzer,1940,Germany,Adolf Leschnitzer
W. E. B. Du Bois,1936,Germany,W. E. B. Du Bois
Hans Mottek,1946,Germany,Hans Mottek
Caspar Peucer,1500,Germany,Caspar Peucer
Heinrich Chantraine,1957,Germany,Heinrich Chantraine
David Steinmetz (historian),1986,Germany,David Steinmetz (historian)
Horst Bartel,1945,Germany,Horst Bartel
Horst Bartel,1949,Germany,Horst Bartel
Hugo Willrich,1919,Germany,Hugo Willrich
Jeffrey Herf,1937,Germany,Jeffrey Herf
Israel Getzler,1938,Germany,Israel Getzler
Joachim Herrmann (archaeologist),1990,Germany,Joachim Herrmann (archaeologist)
Robert A. Doughty,1968,Germany,Robert A. Doughty
Robert A. Doughty,1979,Germany,Robert A. Doughty
John C. G. Röhl,1962,Germany,John C. G. Röhl
Rudolf Lindau (politician),1916,Germany,Rudolf Lindau (politician)
Rudolf Lindau (politician),1945,Germany,Rudolf Lindau (politician)
Joseph Salvador (scholar),1819,Germany,Joseph Salvador (scholar)
Karl Bittel,1927,Germany,Karl Bittel
Richard H. Tilly,1960,Germany,Richard H. Tilly
Vello Helk,1944,Germany,Vello Helk
Manfred Messerschmidt,1954,Germany,Manfred Messerschmidt
Manning Clark,1938,Germany,Manning Clark
Michael Brenner (historian),1998,Germany,Michael Brenner (historian)
Michael Brenner (historian),2014,Germany,Michael Brenner (historian)
Jürgen Matthäus,1992,Germany,Jürgen Matthäus
Paul Leser,1936,Germany,Paul Leser
Philippe Dollinger,1952,Germany,Philippe Dollinger
Walter Laqueur,1938,Germany,Walter Laqueur
Heinrich von Bünau,1697,Germany,Heinrich von Bünau
Gerhard Weinberg,1928,Germany,Gerhard Weinberg
Gerhard Weinberg,1945,Germany,Gerhard Weinberg
Friedrich Karl Biedermann,1812,Germany,Friedrich Karl Biedermann
Leo Kofler,1948,Germany,Leo Kofler
Robert M. Beachy,2009,Germany,Robert M. Beachy
Klemens von Klemperer,1930,Germany,Klemens von Klemperer
Walter Ofonagoro,1995,Germany,Walter Ofonagoro
Sicard of Cremona,1188,Germany,Sicard of Cremona
Sidney Pollard,1947,Germany,Sidney Pollard
Jan Zaprudnik,1944,Germany,Jan Zaprudnik
Waldemar Heckel,1949,Germany,Waldemar Heckel
Willem van Eysinga,1921,Germany,Willem van Eysinga
Alex J. Kay,1979,Germany,Alex J. Kay
Georg von Rauch (historian),1927,Germany,Georg von Rauch (historian)
Paul Fredericq,1916,Germany,Paul Fredericq
Gustav Mayer,1933,Germany,Gustav Mayer
Rufus Jones (writer),1938,Germany,Rufus Jones (writer)
Martin Previšić,2017,Germany,Martin Previšić
Henry Cord Meyer,1937,Germany,Henry Cord Meyer
Arild Huitfeldt,1573,Germany,Arild Huitfeldt
Bernadotte Everly Schmitt,1941,Germany,Bernadotte Everly Schmitt
Elisabeth Hoemberg,1950,Germany,Elisabeth Hoemberg
Robert Howard Hodgkin,1927,Germany,Robert Howard Hodgkin
Hippolyte Fortoul,1840,Germany,Hippolyte Fortoul
Hippolyte Fortoul,1856,Germany,Hippolyte Fortoul
Hélène Miard-Delacroix,1959,Germany,Hélène Miard-Delacroix
William Dodd (ambassador),1900,Germany,William Dodd (ambassador)
Michel Labrousse,1940,Germany,Michel Labrousse
Francis John Byrne,1964,Germany,Francis John Byrne
Franciszek Duchiński,1869,Germany,Franciszek Duchiński
Israel Beer,1960,Germany,Israel Beer
Zdzisław Najder,1982,Germany,Zdzisław Najder
Paolo Prodi,1945,Germany,Paolo Prodi
Julia Danzas,1932,Germany,Julia Danzas
Serge Aleksandrovich Zenkovsky,1949,Germany,Serge Aleksandrovich Zenkovsky
Lev Lyubimov,1947,Germany,Lev Lyubimov
Johann Friedrich von Schulte,1874,Germany,Johann Friedrich von Schulte
Jürgen Möller,1959,Germany,Jürgen Möller
Aleksandre Pirtskhalaishvili,1912,Germany,Aleksandre Pirtskhalaishvili
Ann Taylor Allen,1965,Germany,Ann Taylor Allen
Archibald Cary Coolidge,1892,Germany,Archibald Cary Coolidge
Benedikt Isserlin,1930,Germany,Benedikt Isserlin
Brison D. Gooch,1945,Germany,Brison D. Gooch
Susanne Dodillet,2001,Germany,Susanne Dodillet
Robert L. Bireley,1964,Germany,Robert L. Bireley
Jacob Aall,1797,Germany,Jacob Aall
Constantin Fasolt,1961,Germany,Constantin Fasolt
David J. Saposs,1945,Germany,David J. Saposs
Dorothea Waley Singer,1933,Germany,Dorothea Waley Singer
Zurab Avalishvili,1944,Germany,Zurab Avalishvili
Ephraim Emerton,1876,Germany,Ephraim Emerton
Eric Stanley,1941,Germany,Eric Stanley
Conrad Schirokauer,1938,Germany,Conrad Schirokauer
Frank Heywood Hodder,1890,Germany,Frank Heywood Hodder
J. F. C. Fuller,1935,Germany,J. F. C. Fuller
Frank W. Stahnisch,1990,Germany,Frank W. Stahnisch
Frederick Haberman,1902,Germany,Frederick Haberman
Fritz T. Epstein,1969,Germany,Fritz T. Epstein
George Rawick,1967,Germany,George Rawick
H. B. Thom,1930,Germany,H. B. Thom
Henry Nutcombe Oxenham,1866,Germany,Henry Nutcombe Oxenham
Thomas Schlich,2006,Germany,Thomas Schlich
Jalmari Jaakkola,1909,Germany,Jalmari Jaakkola
Richard J. Evans,1970,Germany,Richard J. Evans
Richard J. Evans,1987,Germany,Richard J. Evans
C. Vann Woodward,1932,Germany,C. Vann Woodward
Karl Ludwig Michelet,1845,Germany,Karl Ludwig Michelet
Ernst Bernheim,1939,Germany,Ernst Bernheim
Karl Weintraub,1935,Germany,Karl Weintraub
Klaus Koschorke,1948,Germany,Klaus Koschorke
Ismar Elbogen,1938,Germany,Ismar Elbogen
Hans-Ulrich Wehler,1945,Germany,Hans-Ulrich Wehler
Eugen Rosenstock-Huessy,1933,Germany,Eugen Rosenstock-Huessy
Eugen Rosenstock-Huessy,1921,Germany,Eugen Rosenstock-Huessy
Louis Leo Snyder,1923,Germany,Louis Leo Snyder
Mahmud Husain,1932,Germany,Mahmud Husain
Vladimir Beneshevich,1897,Germany,Vladimir Beneshevich
Vladimir Beneshevich,1927,Germany,Vladimir Beneshevich
Martin Kitchen,1936,Germany,Martin Kitchen
Maurits van Rooijen,2013,Germany,Maurits van Rooijen
Hubert Jedin,1930,Germany,Hubert Jedin
Georg Heinrich Pertz,1823,Germany,Georg Heinrich Pertz
Michael Stürmer,1914,Germany,Michael Stürmer
Michael Stürmer,1989,Germany,Michael Stürmer
Arno Lustiger,2012,Germany,Arno Lustiger
Mungo Melvin,2002,Germany,Mungo Melvin
Karl Dietrich Bracher,1922,Germany,Karl Dietrich Bracher
Wolfgang Leonhard,1949,Germany,Wolfgang Leonhard
Thomas Nipperdey,1800,Germany,Thomas Nipperdey
A. J. P. Taylor,1936,Germany,A. J. P. Taylor
Michael F. Feldkamp,2012,Germany,Michael F. Feldkamp
Emanuel Ringelblum,1938,Germany,Emanuel Ringelblum
Peter Paret,1679,Germany,Peter Paret
Peter Paret,1980,Germany,Peter Paret
Peter Rafael Bloch,1965,Germany,Peter Rafael Bloch
Karl Josef von Hefele,1809,Germany,Karl Josef von Hefele
Ramsay Weston Phipps,1796,Germany,Ramsay Weston Phipps
Rick Atkinson,1999,Germany,Rick Atkinson
Robert Birley,1947,Germany,Robert Birley
Robert Birley,1949,Germany,Robert Birley
Joachim Lelewel,1831,Germany,Joachim Lelewel
Jorge Basadre,1931,Germany,Jorge Basadre
Paul Jacobsthal,1935,Germany,Paul Jacobsthal
Hermann Baumgarten,1825,Germany,Hermann Baumgarten
Golo Mann,1933,Germany,Golo Mann
Landulf Junior,1125,Germany,Landulf Junior
Georg Ludwig von Maurer,1814,Germany,Georg Ludwig von Maurer
Thomas Kunze,2002,Germany,Thomas Kunze
Michel Parisse,1985,Germany,Michel Parisse
Eduard Fuchs,1933,Germany,Eduard Fuchs
Wilbur Henry Siebert,1890,Germany,Wilbur Henry Siebert
Wilhelm Iwan,1911,Germany,Wilhelm Iwan
Géza Alföldy,1992,Germany,Géza Alföldy
Yaffa Eliach,1944,Germany,Yaffa Eliach
Zenonas Ivinskis,1929,Germany,Zenonas Ivinskis
Elias Avery Lowe,1969,Germany,Elias Avery Lowe
Heinrich August Winkler,1944,Germany,Heinrich August Winkler
Martin Broszat,1933,Germany,Martin Broszat
Franz Borkenau,1933,Germany,Franz Borkenau
Franz Borkenau,1944,Germany,Franz Borkenau
Franz Borkenau,1947,Germany,Franz Borkenau
Franz Borkenau,1937,Germany,Franz Borkenau
Alexander Schenk Graf von Stauffenberg,1936,Germany,Alexander Schenk Graf von Stauffenberg
Hannes Heer,2006,Germany,Hannes Heer
Josef Pfitzner,1901,Germany,Josef Pfitzner
Henning Eichberg,1970,Germany,Henning Eichberg
Erwin Ackerknecht,1930,Germany,Erwin Ackerknecht
Erwin Ackerknecht,1933,Germany,Erwin Ackerknecht
Otto Lauffer,1939,Germany,Otto Lauffer
Franz von Löher,1848,Germany,Franz von Löher
Jürgen Osterhammel,1986,Germany,Jürgen Osterhammel
Hans Rothfels,1941,Germany,Hans Rothfels
Hans Rothfels,1939,Germany,Hans Rothfels
Detlev Peukert,1994,Germany,Detlev Peukert
Detlev Peukert,1933,Germany,Detlev Peukert
Detlev Peukert,1871,Germany,Detlev Peukert
Detlev Peukert,1935,Germany,Detlev Peukert
Detlev Peukert,1870,Germany,Detlev Peukert
Detlev Peukert,1922,Germany,Detlev Peukert
Stephan Kuttner,1969,Germany,Stephan Kuttner
Thomas Elsaesser,1963,Germany,Thomas Elsaesser
Jacques Presser,1940,Germany,Jacques Presser
Peter Brown (historian),1952,Germany,Peter Brown (historian)
Fritz Heichelheim,1961,Germany,Fritz Heichelheim
Walter Kuhn,1936,Germany,Walter Kuhn
Walter Kuhn,1939,Germany,Walter Kuhn
Lewis Namier,1919,Germany,Lewis Namier
John F. Jungclaussen,2006,Germany,John F. Jungclaussen
Heinrich Scheel (historian),1956,Germany,Heinrich Scheel (historian)
Marcus Junkelmann,1980,Germany,Marcus Junkelmann
Karl Heinz Göller,1973,Germany,Karl Heinz Göller
Ruth Lapide,1974,Germany,Ruth Lapide
Rolf Steininger,1942,Plettenberg,Rolf Steininger
Gerhard Hirschfeld,1946,Plettenberg,Gerhard Hirschfeld
Rolf Steininger,1984,Innsbruck,Rolf Steininger
Michael Gehler,1962,Innsbruck,Michael Gehler
Carl Ferdinand Friedrich Lehmann-Haupt,1935,Innsbruck,Carl Ferdinand Friedrich Lehmann-Haupt
Roland Steinacher,1972,Innsbruck,Roland Steinacher
August von Druffel,1862,Innsbruck,August von Druffel
Fritz Schulz (jurist),1910,Innsbruck,Fritz Schulz (jurist)
Frédéric Barbier (historian),1952,Centre national de la recherche scientifique,Frédéric Barbier (historian)
Michael Ranft,1720,University of Leipzig,Michael Ranft
Michael Ranft,1774,Großstechau,Michael Ranft
Franz Rothenbacher,1954,Schelklingen,Franz Rothenbacher
Herbert Grundmann,1902,Meerane,Herbert Grundmann
Herbert Grundmann,1944,Münster,Herbert Grundmann
Herbert Grundmann,1958,Münster,Herbert Grundmann
Hermann von Kerssenbroch,1578,Münster,Hermann von Kerssenbroch
Ewald Frie,1989,Münster,Ewald Frie
Rudolf Vierhaus,1961,Münster,Rudolf Vierhaus
Peter Funke,1991,Münster,Peter Funke
Hermann von Grauert,1873,Münster,Hermann von Grauert
Ulrike Jureit,1983,Münster,Ulrike Jureit
Peter Maser,1988,Münster,Peter Maser
Peter Maser,2008,Münster,Peter Maser
Josef Foschepoth,1975,Münster,Josef Foschepoth
Peter H. Wilson,2011,Münster,Peter H. Wilson
Lutz Raphael,1974,Münster,Lutz Raphael
Lutz Raphael,1970,Münster,Lutz Raphael
Max Kaser,1932,Münster,Max Kaser
Max Kaser,1959,Münster,Max Kaser
Annika Mombauer,1998,Münster,Annika Mombauer
Heinrich August Erhard,1831,Münster,Heinrich August Erhard
Heinrich August Erhard,1851,Münster,Heinrich August Erhard
Felix Stieve,1845,Münster,Felix Stieve
Jean Moeller,1806,Münster,Jean Moeller
Johannes Quasten,1927,Münster,Johannes Quasten
Johannes Quasten,1931,Münster,Johannes Quasten
Georges Depping,1803,Münster,Georges Depping
Wilhelm Diekamp,1877,Münster,Wilhelm Diekamp
Wilhelm Diekamp,1882,Münster,Wilhelm Diekamp
Johann Theodor Katerkamp,1781,Münster,Johann Theodor Katerkamp
Johann Theodor Katerkamp,1834,Münster,Johann Theodor Katerkamp
Georg Schreiber,1945,Münster,Georg Schreiber
Herbert Grundmann,1945,East Prussia,Herbert Grundmann
Herbert Grundmann,1945,Wismar,Herbert Grundmann
Friedrich Christoph Dahlmann,1785,Wismar,Friedrich Christoph Dahlmann
Adolf Holm,1830,Lübeck,Adolf Holm
Peter Voswinckel,1992,Lübeck,Peter Voswinckel
Johann Lorenz von Mosheim,1693,Lübeck,Johann Lorenz von Mosheim
Johann Lorenz von Mosheim,1716,Lübeck,Johann Lorenz von Mosheim
Adolf Holm,1851,Leipzig,Adolf Holm
Eberhard Wächtler,1962,Leipzig,Eberhard Wächtler
Carl Schmidt (Coptologist),1887,Leipzig,Carl Schmidt (Coptologist)
Karl Johannes Neumann,1880,Leipzig,Karl Johannes Neumann
Albrecht Goetze,1897,Leipzig,Albrecht Goetze
Friedrich Karl Julius Schütz,1779,Leipzig,Friedrich Karl Julius Schütz
Emil Ritterling,1861,Leipzig,Emil Ritterling
Friedrich Loofs,1881,Leipzig,Friedrich Loofs
Hans Thieme,1916,Leipzig,Hans Thieme
Wolfgang Schröder,1953,Leipzig,Wolfgang Schröder
Wolfgang Schröder,1958,Leipzig,Wolfgang Schröder
Wolfgang Schröder,1976,Leipzig,Wolfgang Schröder
Karl Eduard Vehse,1820,Leipzig,Karl Eduard Vehse
Norbert Frei,2011,Leipzig,Norbert Frei
Renate Drucker,1945,Leipzig,Renate Drucker
Friedrich Karl Biedermann,1812,Leipzig,Friedrich Karl Biedermann
Friedrich Karl Biedermann,1835,Leipzig,Friedrich Karl Biedermann
Friedrich Karl Biedermann,1849,Leipzig,Friedrich Karl Biedermann
Rudolf Kötzschke,1867,Leipzig,Rudolf Kötzschke
Rudolf Kötzschke,1899,Leipzig,Rudolf Kötzschke
Rudolf Kötzschke,1906,Leipzig,Rudolf Kötzschke
Siegbert Hummel,1938,Leipzig,Siegbert Hummel
Sebastian Voigt,2003,Leipzig,Sebastian Voigt
Lothar Mosler,1953,Leipzig,Lothar Mosler
Karl August Wittfogel,1921,Leipzig,Karl August Wittfogel
Karl Lamprecht,1915,Leipzig,Karl Lamprecht
Samuel Klein (scholar),1906,Leipzig,Samuel Klein (scholar)
Wilhelm Maurenbrecher,1838,Leipzig,Wilhelm Maurenbrecher
Oscar Browning,1876,Leipzig,Oscar Browning
Karl Sudhoff,1925,Leipzig,Karl Sudhoff
Kaspar Ernst August Heisenberg,1890,Leipzig,Kaspar Ernst August Heisenberg
Heinrich Wuttke,1818,Leipzig,Heinrich Wuttke
Georg Voigt,1891,Leipzig,Georg Voigt
Konrad Maurer,1845,Leipzig,Konrad Maurer
Thomas Kunze,1963,Leipzig,Thomas Kunze
Thomas Kunze,1995,Leipzig,Thomas Kunze
Christian Wilhelm Niedner,1838,Leipzig,Christian Wilhelm Niedner
Rudolph Sohm,1917,Leipzig,Rudolph Sohm
Bernd Eisenfeld,1968,Leipzig,Bernd Eisenfeld
Bernd Eisenfeld,1971,Leipzig,Bernd Eisenfeld
Friedrich Boerner,1761,Leipzig,Friedrich Boerner
Martin Broszat,1937,Leipzig,Martin Broszat
Conrad Cichorius,1863,Leipzig,Conrad Cichorius
Gustav Wustmann,1881,Leipzig,Gustav Wustmann
Carl von Noorden,1874,Leipzig,Carl von Noorden
Carl von Noorden,1883,Leipzig,Carl von Noorden
Erwin Ackerknecht,1928,Leipzig,Erwin Ackerknecht
Victor Gardthausen,1925,Leipzig,Victor Gardthausen
Erich Marcks (historian),1894,Leipzig,Erich Marcks (historian)
Albert Hänel,1833,Leipzig,Albert Hänel
Gustav Engel,1912,Quakenbrück,Gustav Engel
Dietrich Hermann Hegewisch,1746,Quakenbrück,Dietrich Hermann Hegewisch
Gustav Engel,1935,Bielefeld,Gustav Engel
Person Gobelinus,1415,Bielefeld,Person Gobelinus
Wilhelm Heinz Schröder,1976,Bielefeld,Wilhelm Heinz Schröder
Olaf Blaschke,1996,Bielefeld,Olaf Blaschke
Hermann Hamelmann,1553,Bielefeld,Hermann Hamelmann
Thomas Kühne,2003,Bielefeld,Thomas Kühne
Klaus Hildebrand,1941,Bielefeld,Klaus Hildebrand
Gustav Engel,1938,Minden,Gustav Engel
Heinrich von Herford,1370,Minden,Heinrich von Herford
Gerhard Hirschfeld,2016,the Institute for International Studies,Gerhard Hirschfeld
Gerhard Hirschfeld,1974,University College Dublin,Gerhard Hirschfeld
Angela Bourke,1974,University College Dublin,Angela Bourke
Kevin Danaher,1937,University College Dublin,Kevin Danaher
Mary E. Daly,1970,University College Dublin,Mary E. Daly
Cormac Ó Gráda,1945,University College Dublin,Cormac Ó Gráda
Catherine Corless,2019,University College Dublin,Catherine Corless
Emmett O'Byrne,1995,University College Dublin,Emmett O'Byrne
Emmett O'Byrne,2005,University College Dublin,Emmett O'Byrne
Jim Duffy (journalist),1987,University College Dublin,Jim Duffy (journalist)
Thomas Bartlett (historian),1995,University College Dublin,Thomas Bartlett (historian)
Gerhard Hirschfeld,1981,Heinrich Heine University,Gerhard Hirschfeld
Gerhard Hirschfeld,1989,Stuttgart,Gerhard Hirschfeld
Christoph Friedrich von Stälin,1869,Stuttgart,Christoph Friedrich von Stälin
Martin Roth (museum director),1955,Stuttgart,Martin Roth (museum director)
Claudia Schoppmann,1958,Stuttgart,Claudia Schoppmann
Philip Schaff,1865,Stuttgart,Philip Schaff
Ruth Bettina Birn,1952,Stuttgart,Ruth Bettina Birn
Helmut Krausnick,1990,Stuttgart,Helmut Krausnick
Kurt Gossweiler,1917,Stuttgart,Kurt Gossweiler
Peter Hoffmann (historian),1961,Stuttgart,Peter Hoffmann (historian)
Ludwig Timotheus Spittler,1752,Stuttgart,Ludwig Timotheus Spittler
Kerstin von Lingen,2006,Stuttgart,Kerstin von Lingen
Karl Dietrich Bracher,1948,Stuttgart,Karl Dietrich Bracher
Johannes Nauclerus,1460,Stuttgart,Johannes Nauclerus
August Nitschke,1986,Stuttgart,August Nitschke
Ludo Moritz Hartmann,1865,Stuttgart,Ludo Moritz Hartmann
Alexander Schenk Graf von Stauffenberg,1905,Stuttgart,Alexander Schenk Graf von Stauffenberg
Wilhelm Zimmermann,1807,Stuttgart,Wilhelm Zimmermann
Eberhard Kolb,1933,Stuttgart,Eberhard Kolb
Liselotte Welskopf-Henrich,1907,Stuttgart,Liselotte Welskopf-Henrich
Andreas Kalckhoff,1980,Stuttgart,Andreas Kalckhoff
Gerhard Hirschfeld,2016,China,Gerhard Hirschfeld
Ho Ping-sung,1917,China,Ho Ping-sung
William Hung (sinologist),1919,China,William Hung (sinologist)
William Hung (sinologist),1946,China,William Hung (sinologist)
Phan Huy Chú,1825,China,Phan Huy Chú
Hsu Dau-lin,1910,China,Hsu Dau-lin
Hsu Dau-lin,1932,China,Hsu Dau-lin
Satya Mohan Joshi,1960,China,Satya Mohan Joshi
Satya Mohan Joshi,1260,China,Satya Mohan Joshi
Paul Langdon Ward,1946,China,Paul Langdon Ward
K. C. Wu,1926,China,K. C. Wu
Elizabeth J. Perry,1979,China,Elizabeth J. Perry
Manning Clark,1985,China,Manning Clark
Rhoads Murphey,1942,China,Rhoads Murphey
Merle Goldman,1931,China,Merle Goldman
William John Francis Jenner,1979,China,William John Francis Jenner
Jacques Guillermaz,1937,China,Jacques Guillermaz
Frederic Wakeman,1970,China,Frederic Wakeman
Frederic Wakeman,1975,China,Frederic Wakeman
Xu Fuguan,1902,China,Xu Fuguan
Franz H. Michael,1937,China,Franz H. Michael
G. E. R. Lloyd,1987,China,G. E. R. Lloyd
Arthur Waldron,1995,China,Arthur Waldron
Charles Hucker,1979,China,Charles Hucker
Charles Hucker,1950,China,Charles Hucker
Chen Chung-hwan,1929,China,Chen Chung-hwan
Dean King,2009,China,Dean King
Francis Woodman Cleaves,1930,China,Francis Woodman Cleaves
Him Mark Lai,1991,China,Him Mark Lai
Dong Zuobin,1948,China,Dong Zuobin
Jian Bozan,1924,China,Jian Bozan
Jian Bozan,1926,China,Jian Bozan
Jian Youwen,1917,China,Jian Youwen
John Buyers,1799,China,John Buyers
Kerry Noonan,2009,China,Kerry Noonan
Kuo Ping-Wen,1928,China,Kuo Ping-Wen
Mao Peiqi,2005,China,Mao Peiqi
Marshall Broomhall,1890,China,Marshall Broomhall
Lê Quý Đôn,1760,China,Lê Quý Đôn
Prabodh Chandra Bagchi,1952,China,Prabodh Chandra Bagchi
Richard G. Hewlett,1945,China,Richard G. Hewlett
Ross Terrill,1978,China,Ross Terrill
Stanley Kutler,1991,China,Stanley Kutler
Tong Tekong,1920,China,Tong Tekong
William Henry Scott (historian),1946,China,William Henry Scott (historian)
Chen Yuan (historian),1917,China,Chen Yuan (historian)
Frederick W. Mote,1950,China,Frederick W. Mote
Johann Böhm (historian),1929,Batoș,Johann Böhm (historian)
Johann Böhm (historian),1929,Transylvania,Johann Böhm (historian)
Johann Sommer,1565,Transylvania,Johann Sommer
Rodica Bretin,1996,Transylvania,Rodica Bretin
Johann Böhm (historian),1952,the School on the Hill,Johann Böhm (historian)
Lothar Machtan,1949,the University of Bremen,Lothar Machtan
Johann Peter Berg,1763,the University of Bremen,Johann Peter Berg
Hannes Heer,1970,the University of Bremen,Hannes Heer
